,seller,offerType,price,abtest,vehicleType,gearbox,powerPS,model,kilometer,fuelType,brand,notRepairedDamage,Age
60,privat,Angebot,1199,test,limousine,,90,,150000,benzin,volkswagen,nein,25.0
61,privat,Angebot,995,test,limousine,manuell,101,primera,150000,benzin,nissan,nein,27.33
62,privat,Angebot,6300,test,bus,manuell,116,golf,125000,benzin,volkswagen,nein,15.33
63,privat,Angebot,13950,control,kleinwagen,manuell,184,cooper,70000,benzin,mini,nein,10.5
65,privat,Angebot,250,control,,manuell,65,fiesta,125000,benzin,ford,,4.75
66,privat,Angebot,2250,control,kleinwagen,manuell,80,corsa,150000,benzin,opel,nein,16.33
67,privat,Angebot,4800,test,suv,manuell,121,wrangler,150000,benzin,jeep,,29.42
68,privat,Angebot,10990,test,,manuell,174,clubman,100000,,mini,nein,4.0
69,privat,Angebot,2500,test,kleinwagen,manuell,75,sandero,90000,benzin,dacia,nein,12.42
70,privat,Angebot,1750,control,cabrio,manuell,131,andere,150000,benzin,saab,nein,22.33
72,privat,Angebot,8100,control,kombi,automatik,179,a6,150000,,audi,nein,13.42
73,privat,Angebot,2700,test,bus,manuell,57,transporter,125000,diesel,volkswagen,,35.67
75,privat,Angebot,3800,control,limousine,automatik,204,andere,150000,benzin,volvo,nein,31.67
76,privat,Angebot,31999,control,limousine,manuell,136,3er,5000,benzin,bmw,,5.17
77,privat,Angebot,2200,test,kombi,manuell,108,v40,150000,benzin,volvo,,20.5
78,privat,Angebot,449,control,kleinwagen,manuell,75,3_reihe,150000,benzin,peugeot,nein,23.08
79,privat,Angebot,6300,control,kleinwagen,manuell,131,ibiza,150000,diesel,seat,,14.0
81,privat,Angebot,2000,test,kleinwagen,manuell,65,micra,150000,benzin,nissan,ja,14.75
82,privat,Angebot,4700,control,limousine,manuell,170,3er,150000,benzin,bmw,nein,20.67
83,privat,Angebot,8490,test,limousine,manuell,143,1er,150000,diesel,bmw,nein,14.0
84,privat,Angebot,900,control,,,60,twingo,150000,,renault,,3.0
86,privat,Angebot,399,control,coupe,manuell,113,colt,125000,benzin,mitsubishi,ja,26.83
88,privat,Angebot,1800,test,limousine,automatik,193,5er,150000,benzin,bmw,nein,24.92
89,privat,Angebot,7900,control,limousine,automatik,177,a6,125000,benzin,audi,nein,16.08
90,privat,Angebot,34900,control,cabrio,automatik,150,a3,20000,diesel,audi,nein,7.42
91,privat,Angebot,7999,test,limousine,manuell,150,1er,125000,benzin,bmw,nein,15.33
93,privat,Angebot,7500,control,kombi,manuell,163,6_reihe,150000,diesel,mazda,nein,10.17
94,privat,Angebot,6299,test,kombi,manuell,163,a4,150000,lpg,audi,nein,19.83
95,privat,Angebot,36000,test,limousine,automatik,385,andere,40000,benzin,jaguar,nein,9.67
96,privat,Angebot,1000,test,kombi,manuell,110,golf,150000,diesel,volkswagen,nein,24.5
97,privat,Angebot,800,control,bus,manuell,63,andere,125000,benzin,mazda,ja,21.67
98,privat,Angebot,13500,test,cabrio,automatik,200,a4,125000,benzin,audi,,13.42
100,privat,Angebot,4500,test,bus,manuell,143,5_reihe,90000,diesel,mazda,ja,14.58
103,privat,Angebot,3799,control,kleinwagen,manuell,65,micra,70000,benzin,nissan,nein,17.17
104,privat,Angebot,12000,test,bus,manuell,151,transporter,150000,diesel,volkswagen,nein,20.58
105,privat,Angebot,20999,control,limousine,automatik,204,5er,150000,diesel,bmw,nein,10.5
106,privat,Angebot,150,test,coupe,manuell,106,tigra,5000,,opel,ja,25.83
107,privat,Angebot,550,test,kleinwagen,manuell,85,punto,150000,diesel,fiat,,20.33
108,privat,Angebot,3500,control,bus,manuell,109,vito,150000,diesel,mercedes_benz,nein,18.83
109,privat,Angebot,3399,test,limousine,manuell,75,cordoba,125000,benzin,seat,nein,15.5
110,privat,Angebot,1300,test,bus,manuell,145,galaxy,150000,benzin,ford,ja,21.42
111,privat,Angebot,1200,test,kombi,manuell,116,100,150000,benzin,audi,nein,29.92
112,privat,Angebot,999,control,kleinwagen,manuell,75,polo,150000,benzin,volkswagen,nein,25.75
113,privat,Angebot,1200,test,,manuell,75,golf,150000,,volkswagen,,4.58
114,privat,Angebot,18700,control,kombi,manuell,140,passat,60000,diesel,volkswagen,nein,8.92
115,privat,Angebot,2300,control,coupe,manuell,179,a3,150000,benzin,audi,ja,20.67
116,privat,Angebot,7350,control,kleinwagen,manuell,101,corsa,80000,benzin,opel,nein,9.92
117,privat,Angebot,4700,test,limousine,manuell,163,a4,150000,diesel,audi,nein,16.25
119,privat,Angebot,2999,control,cabrio,manuell,109,2_reihe,150000,benzin,peugeot,nein,17.75
120,privat,Angebot,18900,control,limousine,automatik,122,golf,30000,benzin,volkswagen,nein,8.58
121,privat,Angebot,1100,control,kombi,manuell,127,focus,5000,diesel,ford,,19.67
122,privat,Angebot,9990,control,kombi,manuell,170,octavia,90000,diesel,skoda,nein,14.92
123,privat,Angebot,6700,control,suv,automatik,250,m_klasse,150000,diesel,mercedes_benz,nein,18.75
125,privat,Angebot,4000,control,bus,manuell,105,altea,100000,benzin,seat,nein,16.92
126,privat,Angebot,6990,test,cabrio,manuell,120,2_reihe,125000,benzin,peugeot,nein,13.58
127,privat,Angebot,190,control,kleinwagen,manuell,60,polo,30000,benzin,volkswagen,nein,26.25
128,privat,Angebot,1950,control,kleinwagen,manuell,50,lupo,90000,benzin,volkswagen,nein,18.33
129,privat,Angebot,1790,test,kombi,manuell,126,primera,125000,diesel,nissan,nein,19.17
130,privat,Angebot,200,control,kleinwagen,manuell,75,fiesta,150000,benzin,ford,ja,22.42
131,privat,Angebot,11900,test,limousine,manuell,160,a3,100000,benzin,audi,nein,13.0
132,privat,Angebot,2900,control,limousine,manuell,163,superb,150000,diesel,skoda,nein,17.33
133,privat,Angebot,10000,test,suv,automatik,163,m_klasse,150000,diesel,mercedes_benz,nein,16.75
134,privat,Angebot,32000,control,limousine,automatik,183,e_klasse,70000,benzin,mercedes_benz,nein,13.75
135,privat,Angebot,8500,control,,manuell,81,meriva,90000,diesel,opel,,5.67
136,privat,Angebot,1499,control,bus,manuell,54,andere,150000,benzin,subaru,ja,26.67
137,privat,Angebot,7750,control,limousine,manuell,174,3_reihe,125000,benzin,peugeot,nein,12.5
138,privat,Angebot,18300,test,bus,manuell,125,c_max,20000,benzin,ford,,6.58
140,privat,Angebot,5400,control,suv,manuell,141,,60000,diesel,sonstige_autos,nein,13.25
141,privat,Angebot,2600,test,limousine,manuell,163,c_klasse,150000,benzin,mercedes_benz,nein,19.17
142,privat,Angebot,29950,test,kombi,automatik,177,a4,50000,diesel,audi,nein,8.25
143,privat,Angebot,9655,test,limousine,automatik,224,e_klasse,150000,diesel,mercedes_benz,,15.5
145,privat,Angebot,799,control,kombi,manuell,75,astra,150000,benzin,opel,nein,24.17
147,privat,Angebot,600,control,,manuell,60,polo,125000,benzin,volkswagen,,21.5
148,privat,Angebot,500,control,kleinwagen,manuell,60,polo,125000,benzin,volkswagen,ja,25.67
149,privat,Angebot,550,control,limousine,manuell,80,andere,100000,benzin,kia,nein,24.17
150,privat,Angebot,2450,control,limousine,manuell,140,laguna,125000,benzin,renault,nein,19.33
151,privat,Angebot,3250,test,cabrio,manuell,116,golf,150000,benzin,volkswagen,nein,21.5
152,privat,Angebot,4499,test,suv,automatik,163,,150000,diesel,sonstige_autos,nein,16.75
153,privat,Angebot,31000,test,coupe,manuell,239,andere,150000,benzin,porsche,nein,29.25
154,privat,Angebot,3950,test,bus,manuell,102,transporter,150000,diesel,volkswagen,nein,23.5
156,privat,Angebot,499,control,kleinwagen,manuell,60,1_reihe,150000,,peugeot,nein,22.5
157,privat,Angebot,12400,control,kombi,manuell,136,c_klasse,150000,diesel,mercedes_benz,nein,11.17
158,privat,Angebot,1500,test,kleinwagen,manuell,75,corsa,150000,benzin,opel,nein,18.17
159,privat,Angebot,18800,control,kleinwagen,manuell,184,cooper,30000,benzin,mini,nein,8.25
161,privat,Angebot,11000,test,suv,manuell,239,touareg,150000,diesel,volkswagen,ja,13.58
162,privat,Angebot,4900,control,kleinwagen,manuell,95,andere,125000,benzin,fiat,nein,12.75
163,privat,Angebot,600,test,limousine,manuell,90,andere,150000,benzin,citroen,ja,24.75
165,privat,Angebot,13950,test,limousine,manuell,143,a4,125000,diesel,audi,nein,13.58
166,privat,Angebot,15000,test,limousine,manuell,95,andere,80000,benzin,mercedes_benz,nein,49.42
168,privat,Angebot,21959,control,limousine,automatik,170,e_klasse,125000,diesel,mercedes_benz,nein,10.92
169,privat,Angebot,1700,control,kombi,automatik,101,golf,150000,benzin,volkswagen,,22.0
170,privat,Angebot,890,control,kleinwagen,manuell,55,seicento,100000,benzin,fiat,nein,22.92
171,privat,Angebot,11590,control,kombi,manuell,120,a4,80000,,audi,nein,14.0
172,privat,Angebot,2000,test,bus,manuell,88,transporter,150000,diesel,volkswagen,nein,21.92
173,privat,Angebot,14000,control,kombi,automatik,344,andere,150000,benzin,audi,nein,16.92
174,privat,Angebot,300,test,kleinwagen,manuell,80,punto,150000,benzin,fiat,,21.67
176,privat,Angebot,450,test,kleinwagen,manuell,75,golf,150000,,volkswagen,nein,24.33
177,privat,Angebot,9990,test,kombi,automatik,232,a4,150000,diesel,audi,nein,14.0
178,privat,Angebot,4699,control,bus,manuell,136,touran,150000,diesel,volkswagen,nein,18.92
179,privat,Angebot,2600,control,limousine,manuell,75,colt,150000,benzin,mitsubishi,nein,16.92
182,privat,Angebot,1790,control,cabrio,automatik,135,megane,150000,benzin,renault,ja,17.83
183,privat,Angebot,1499,test,kleinwagen,,45,fortwo,150000,benzin,smart,nein,22.58
184,privat,Angebot,4490,control,kleinwagen,manuell,73,2_reihe,100000,benzin,peugeot,nein,12.25
185,privat,Angebot,1490,control,kleinwagen,manuell,75,clio,150000,benzin,renault,nein,20.08
186,privat,Angebot,7200,control,kombi,manuell,179,,150000,benzin,audi,nein,13.0
187,privat,Angebot,900,control,kombi,manuell,60,polo,150000,benzin,volkswagen,,22.58
188,privat,Angebot,850,test,kombi,manuell,75,astra,150000,benzin,opel,nein,23.92
189,privat,Angebot,7399,test,kombi,manuell,129,avensis,125000,benzin,toyota,nein,14.0
190,privat,Angebot,800,test,limousine,manuell,131,mondeo,150000,diesel,ford,,17.25
193,privat,Angebot,2650,test,kleinwagen,manuell,103,,125000,benzin,fiat,nein,18.92
194,privat,Angebot,24300,control,limousine,automatik,184,x_reihe,150000,diesel,bmw,nein,9.83
195,privat,Angebot,3300,control,kleinwagen,manuell,95,andere,125000,benzin,fiat,nein,16.0
196,privat,Angebot,1950,control,,manuell,102,,150000,,bmw,nein,25.5
197,privat,Angebot,888,control,,manuell,64,polo,20000,,volkswagen,ja,4.58
198,privat,Angebot,4200,test,andere,manuell,160,ducato,150000,diesel,fiat,ja,14.25
200,privat,Angebot,56500,control,cabrio,manuell,436,andere,30000,benzin,chevrolet,nein,9.92
201,privat,Angebot,1600,control,limousine,manuell,80,andere,125000,,mazda,nein,18.92
202,privat,Angebot,1200,test,kleinwagen,manuell,53,golf,150000,benzin,volkswagen,nein,28.08
203,privat,Angebot,750,test,,manuell,102,3er,150000,,bmw,,21.67
204,privat,Angebot,1850,test,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,21.25
205,privat,Angebot,4800,control,cabrio,automatik,90,tigra,80000,benzin,opel,nein,18.0
206,privat,Angebot,3400,control,kleinwagen,manuell,65,micra,125000,benzin,nissan,nein,17.5
207,privat,Angebot,3000,control,kleinwagen,automatik,68,1_reihe,150000,benzin,peugeot,nein,14.92
208,privat,Angebot,1800,control,limousine,manuell,211,5er,150000,benzin,bmw,nein,33.67
209,privat,Angebot,11900,control,cabrio,automatik,179,a4,150000,diesel,audi,nein,13.58
212,privat,Angebot,26300,test,cabrio,automatik,245,boxster,40000,benzin,porsche,nein,15.83
213,privat,Angebot,2950,test,kombi,manuell,125,signum,150000,diesel,opel,nein,18.42
214,privat,Angebot,15000,control,bus,automatik,140,sharan,150000,diesel,volkswagen,nein,8.42
215,privat,Angebot,1200,test,kombi,manuell,116,focus,150000,benzin,ford,nein,21.5
216,privat,Angebot,1600,control,kleinwagen,manuell,101,golf,150000,benzin,volkswagen,ja,23.0
217,privat,Angebot,8900,control,coupe,,160,andere,150000,benzin,porsche,,32.92
218,privat,Angebot,5200,test,kleinwagen,manuell,65,micra,40000,benzin,nissan,nein,11.25
221,privat,Angebot,150,test,kleinwagen,manuell,45,corsa,150000,benzin,opel,,26.33
222,privat,Angebot,1600,control,cabrio,manuell,75,astra,100000,benzin,opel,,25.83
223,privat,Angebot,3150,control,kleinwagen,manuell,68,fiesta,150000,diesel,ford,nein,16.75
224,privat,Angebot,32950,test,bus,manuell,140,transporter,10000,diesel,volkswagen,nein,6.42
225,privat,Angebot,2900,control,suv,manuell,128,rav,150000,benzin,toyota,nein,24.42
228,privat,Angebot,16700,control,coupe,manuell,239,a5,150000,diesel,audi,nein,13.42
229,privat,Angebot,2400,test,limousine,manuell,116,beetle,150000,benzin,volkswagen,nein,22.25
230,privat,Angebot,8500,control,suv,automatik,241,touareg,150000,benzin,volkswagen,nein,16.58
231,privat,Angebot,350,control,kombi,manuell,115,passat,150000,benzin,volkswagen,,27.83
232,privat,Angebot,6950,test,limousine,manuell,136,c_reihe,125000,diesel,volvo,nein,13.08
233,privat,Angebot,10500,test,limousine,automatik,224,phaeton,150000,diesel,volkswagen,nein,15.5
235,privat,Angebot,22490,control,kombi,automatik,136,i_reihe,40000,diesel,hyundai,nein,7.5
238,privat,Angebot,17200,control,cabrio,automatik,231,sl,90000,benzin,mercedes_benz,nein,25.83
239,privat,Angebot,3500,control,limousine,manuell,143,c_klasse,150000,diesel,mercedes_benz,,21.75
240,privat,Angebot,7100,control,kleinwagen,manuell,75,sandero,80000,benzin,dacia,nein,9.67
241,privat,Angebot,1000,test,limousine,manuell,75,andere,125000,benzin,hyundai,nein,19.58
242,privat,Angebot,24890,test,kombi,automatik,245,a6,125000,diesel,audi,nein,9.25
243,privat,Angebot,7300,test,kombi,manuell,136,focus,150000,diesel,ford,nein,14.5
244,privat,Angebot,1999,control,limousine,manuell,75,3_reihe,150000,benzin,peugeot,nein,18.5
246,privat,Angebot,1200,test,suv,automatik,250,andere,150000,benzin,chevrolet,nein,48.25
247,privat,Angebot,3200,test,limousine,manuell,105,golf,90000,benzin,volkswagen,nein,19.92
249,privat,Angebot,5200,test,limousine,manuell,150,andere,100000,lpg,chrysler,nein,14.0
250,privat,Angebot,19990,test,kombi,automatik,325,insignia,125000,benzin,opel,nein,10.25
251,privat,Angebot,1400,test,kombi,manuell,131,mondeo,150000,diesel,ford,nein,17.33
252,privat,Angebot,230,control,limousine,manuell,75,colt,150000,benzin,mitsubishi,nein,24.33
254,privat,Angebot,15899,test,limousine,automatik,239,phaeton,150000,diesel,volkswagen,nein,12.58
255,privat,Angebot,1450,test,kombi,manuell,75,golf,150000,benzin,volkswagen,nein,27.08
256,privat,Angebot,4250,test,,manuell,131,passat,150000,,volkswagen,,5.92
257,privat,Angebot,2450,test,kombi,manuell,90,mondeo,150000,diesel,ford,nein,20.83
258,privat,Angebot,7900,control,kleinwagen,manuell,68,up,30000,cng,volkswagen,nein,8.58
260,privat,Angebot,1500,test,limousine,manuell,75,civic,125000,benzin,honda,nein,21.92
261,privat,Angebot,350,test,limousine,manuell,90,80,150000,benzin,audi,ja,26.33
262,privat,Angebot,400,test,limousine,,150,a6,150000,benzin,audi,ja,25.0
263,privat,Angebot,2400,test,cabrio,manuell,109,2_reihe,125000,benzin,peugeot,nein,18.42
265,privat,Angebot,850,test,kleinwagen,manuell,58,corsa,150000,benzin,opel,nein,20.83
266,privat,Angebot,799,control,kombi,manuell,131,omega,150000,diesel,opel,nein,22.42
267,privat,Angebot,8995,control,kleinwagen,automatik,84,fortwo,30000,benzin,smart,nein,8.5
268,privat,Angebot,16500,test,suv,automatik,235,x_reihe,150000,diesel,bmw,,12.08
269,privat,Angebot,1470,control,kleinwagen,manuell,110,a3,5000,diesel,audi,nein,22.08
270,privat,Angebot,11800,test,kombi,automatik,177,3er,150000,diesel,bmw,,13.0
271,privat,Angebot,18299,test,kombi,manuell,177,a4,100000,diesel,audi,nein,9.33
272,privat,Angebot,1350,control,kleinwagen,manuell,75,clio,150000,benzin,renault,,22.5
273,privat,Angebot,12850,test,suv,automatik,197,sorento,150000,diesel,kia,nein,9.42
274,privat,Angebot,1599,test,cabrio,,54,fortwo,125000,benzin,smart,nein,19.58
275,privat,Angebot,2000,control,limousine,manuell,133,andere,100000,benzin,chrysler,nein,20.75
277,privat,Angebot,18499,test,kleinwagen,manuell,90,a1,20000,diesel,audi,nein,7.83
278,privat,Angebot,7300,test,kleinwagen,automatik,71,fortwo,50000,benzin,smart,,10.17
279,privat,Angebot,1500,test,kleinwagen,manuell,58,corsa,150000,benzin,opel,ja,18.25
280,privat,Angebot,1000,test,limousine,manuell,90,80,150000,benzin,audi,nein,28.25
281,privat,Angebot,900,test,limousine,automatik,115,,100000,,opel,nein,25.42
282,privat,Angebot,4750,control,kleinwagen,manuell,90,corsa,125000,benzin,opel,nein,14.83
284,privat,Angebot,3100,test,kleinwagen,,75,lupo,150000,benzin,volkswagen,nein,23.0
285,privat,Angebot,1600,test,limousine,manuell,116,focus,150000,benzin,ford,nein,22.08
286,privat,Angebot,18800,control,cabrio,manuell,204,z_reihe,70000,benzin,bmw,nein,10.58
287,privat,Angebot,9850,control,bus,manuell,111,berlingo,60000,diesel,citroen,nein,10.92
288,privat,Angebot,1190,test,kombi,manuell,120,laguna,150000,diesel,renault,,18.67
289,privat,Angebot,14500,control,cabrio,automatik,136,e_klasse,150000,benzin,mercedes_benz,nein,25.92
290,privat,Angebot,8990,test,coupe,manuell,160,scirocco,150000,benzin,volkswagen,nein,12.42
291,privat,Angebot,999,control,limousine,manuell,125,a3,150000,benzin,audi,nein,24.17
292,privat,Angebot,13990,test,cabrio,manuell,174,cooper,80000,benzin,mini,nein,11.5
293,privat,Angebot,12900,control,kombi,manuell,170,c_klasse,150000,diesel,mercedes_benz,nein,12.83
294,privat,Angebot,3699,control,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,15.58
296,privat,Angebot,11500,control,suv,automatik,260,,100000,benzin,sonstige_autos,nein,14.58
297,privat,Angebot,16800,test,kombi,automatik,170,c_klasse,125000,diesel,mercedes_benz,nein,11.75
298,privat,Angebot,2999,test,coupe,manuell,136,clk,150000,lpg,mercedes_benz,nein,23.0
299,privat,Angebot,600,test,limousine,manuell,116,80,150000,benzin,audi,ja,27.92
300,privat,Angebot,1200,test,kombi,manuell,136,3er,150000,diesel,bmw,,20.25
303,privat,Angebot,5000,control,limousine,manuell,90,beetle,150000,diesel,volkswagen,nein,20.75
304,privat,Angebot,10998,test,limousine,automatik,150,e_klasse,125000,diesel,mercedes_benz,nein,16.33
305,privat,Angebot,1800,control,limousine,manuell,125,a4,150000,benzin,audi,nein,24.08
306,privat,Angebot,1250,test,kleinwagen,manuell,60,punto,150000,benzin,fiat,,18.42
307,privat,Angebot,2800,test,,manuell,109,focus,150000,,ford,,5.67
308,privat,Angebot,8499,test,kombi,manuell,105,golf,150000,diesel,volkswagen,nein,10.75
309,privat,Angebot,5800,control,coupe,manuell,231,3er,150000,benzin,bmw,nein,18.42
310,privat,Angebot,1390,control,limousine,manuell,125,e_klasse,150000,diesel,mercedes_benz,nein,22.67
311,privat,Angebot,10990,control,bus,automatik,140,s_max,150000,diesel,ford,nein,13.42
312,privat,Angebot,13490,test,coupe,manuell,143,1er,125000,diesel,bmw,nein,11.75
313,privat,Angebot,400,control,limousine,manuell,116,andere,150000,benzin,kia,,23.67
314,privat,Angebot,1650,control,kleinwagen,manuell,75,golf,150000,benzin,volkswagen,nein,24.0
315,privat,Angebot,580,control,kombi,manuell,101,passat,150000,benzin,volkswagen,ja,23.42
316,privat,Angebot,1199,control,kleinwagen,manuell,82,micra,150000,benzin,nissan,nein,21.0
317,privat,Angebot,649,test,kleinwagen,manuell,50,fiesta,125000,benzin,ford,ja,26.0
318,privat,Angebot,730,test,kleinwagen,manuell,83,kalos,150000,lpg,daewoo,nein,18.83
319,privat,Angebot,6500,control,,automatik,218,5er,150000,diesel,bmw,nein,16.75
320,privat,Angebot,500,test,kleinwagen,manuell,75,,150000,,peugeot,ja,24.0
321,privat,Angebot,21999,test,kleinwagen,automatik,185,a1,20000,benzin,audi,nein,7.83
322,privat,Angebot,5500,test,kombi,manuell,239,a4,150000,diesel,audi,nein,12.5
324,privat,Angebot,1000,control,andere,manuell,115,,150000,benzin,ford,,21.17
325,privat,Angebot,12000,test,suv,automatik,231,x_reihe,150000,benzin,bmw,nein,17.67
326,privat,Angebot,2950,control,limousine,manuell,101,a3,150000,benzin,audi,nein,21.25
328,privat,Angebot,4555,control,limousine,manuell,116,avensis,150000,diesel,toyota,nein,19.0
329,privat,Angebot,12800,test,suv,manuell,173,cx_reihe,125000,diesel,mazda,nein,12.75
330,privat,Angebot,450,control,kombi,manuell,116,vectra,150000,lpg,opel,ja,24.0
331,privat,Angebot,7650,control,suv,manuell,129,grand,150000,diesel,suzuki,nein,15.42
332,privat,Angebot,4500,control,kleinwagen,manuell,92,swift,150000,lpg,suzuki,nein,16.25
333,privat,Angebot,4950,control,bus,manuell,101,vivaro,125000,diesel,opel,nein,16.83
334,privat,Angebot,1250,control,kleinwagen,manuell,101,a_klasse,150000,benzin,mercedes_benz,nein,21.83
335,privat,Angebot,760,control,kleinwagen,manuell,60,ka,125000,benzin,ford,nein,16.83
336,privat,Angebot,21500,test,coupe,automatik,286,3er,150000,diesel,bmw,nein,13.33
337,privat,Angebot,3099,control,kleinwagen,,61,fortwo,90000,benzin,smart,nein,14.83
338,privat,Angebot,3100,test,limousine,automatik,193,3er,150000,benzin,bmw,nein,23.08
339,privat,Angebot,12990,control,limousine,automatik,190,a4,150000,diesel,audi,nein,15.0
340,privat,Angebot,13000,control,suv,manuell,150,tiguan,40000,benzin,volkswagen,nein,12.25
341,privat,Angebot,650,control,limousine,manuell,75,astra,150000,benzin,opel,nein,22.42
342,privat,Angebot,1200,test,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,23.5
343,privat,Angebot,600,control,,manuell,75,colt,150000,benzin,mitsubishi,,5.0
345,privat,Angebot,6699,test,,manuell,200,golf,150000,,volkswagen,,17.0
348,privat,Angebot,3750,control,,manuell,150,beetle,150000,,volkswagen,nein,4.58
349,privat,Angebot,4999,test,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,15.75
350,privat,Angebot,9900,control,bus,manuell,102,transporter,150000,diesel,volkswagen,nein,22.17
351,privat,Angebot,950,control,kombi,manuell,74,passat,5000,,volkswagen,,25.5
352,privat,Angebot,1500,test,kombi,manuell,100,focus,150000,diesel,ford,ja,16.75
353,privat,Angebot,3300,test,andere,manuell,110,sprinter,150000,diesel,mercedes_benz,nein,19.0
354,privat,Angebot,15500,test,limousine,manuell,105,golf,40000,diesel,volkswagen,nein,8.67
355,privat,Angebot,1300,control,limousine,manuell,75,golf,150000,benzin,volkswagen,nein,21.92
356,privat,Angebot,7750,test,kleinwagen,manuell,75,mii,30000,benzin,seat,nein,9.5
